id,kategori,deger,aciklama
37089,D,197,Yok
37090,A,419,Yok
37091,A,441,Yok
37092,C,73,Yok
37093,B,154,Yok
37094,B,363,Yok
37095,B,250,Yok
37096,D,209,Yok
37097,A,466,Yok
37098,C,400,Yok
37099,B,74,Yok
37100,C,137,Yok
37101,C,61,Yok
37102,A,241,Yok
37103,B,434,Yok
37104,C,381,Yok
37105,B,409,Yok
37106,B,251,Yok
37107,B,203,Yok
37108,C,253,Yok
37109,A,209,Yok
37110,A,95,Yok
37111,C,387,Yok
37112,D,193,Yok
37113,B,292,Yok
37114,B,27,Yok
37115,A,328,Yok
37116,C,89,Yok
37117,C,380,Yok
37118,D,419,Yok
37119,D,415,Yok
37120,A,451,Yok
37121,D,266,Yok
37122,D,233,Yok
37123,C,439,Yok
37124,C,351,Yok
37125,D,36,Yok
37126,A,367,Yok
37127,D,181,Yok
37128,A,426,Yok
37129,D,487,Yok
37130,C,92,Yok
37131,C,42,Yok
37132,A,134,Yok
37133,D,191,Yok
37134,D,162,Yok
37135,A,15,Yok
37136,D,441,Yok
37137,B,264,Yok
37138,C,261,Yok
37139,C,102,Yok
37140,A,69,Yok
37141,D,455,Yok
37142,A,24,Yok
37143,B,469,Yok
37144,D,452,Yok
37145,B,303,Yok
37146,A,408,Yok
37147,C,168,Yok
37148,B,123,Yok
37149,D,202,Yok
37150,A,413,Yok
37151,A,422,Yok
37152,A,340,Yok
37153,C,466,Yok
37154,A,153,Yok
37155,A,473,Yok
37156,C,426,Yok
37157,A,192,Yok
37158,A,284,Yok
37159,B,354,Yok
37160,A,59,Yok
37161,C,43,Yok
37162,B,201,Yok
37163,A,112,Yok
37164,C,161,Yok
37165,D,378,Yok
37166,A,297,Yok
37167,D,130,Yok
37168,B,496,Yok
37169,C,396,Yok
37170,B,150,Yok
37171,D,487,Yok
37172,D,96,Yok
37173,D,487,Yok
37174,C,277,Yok
37175,D,71,Yok
37176,D,438,Yok
37177,C,495,Yok
37178,D,33,Yok
37179,A,289,Yok
37180,D,231,Yok
37181,C,218,Yok
37182,D,24,Yok
37183,C,493,Yok
37184,D,187,Yok
37185,A,97,Yok
37186,C,361,Yok
37187,C,481,Yok
37188,C,204,Yok
37189,C,381,Yok
37190,D,182,Yok
37191,D,458,Yok
37192,A,29,Yok
37193,A,286,Yok
37194,D,405,Yok
37195,B,257,Yok
37196,C,109,Yok
37197,D,373,Yok
37198,A,94,Yok
37199,C,92,Yok
37200,A,412,Yok
37201,B,366,Yok
37202,C,267,Yok
37203,B,298,Yok
37204,B,430,Yok
37205,B,275,Yok
37206,D,297,Yok
37207,A,359,Yok
37208,C,390,Yok
37209,D,265,Yok
37210,A,474,Yok
37211,D,423,Yok
37212,A,279,Yok
37213,C,14,Yok
37214,C,301,Yok
37215,C,342,Yok
37216,C,323,Yok
37217,A,473,Yok
37218,D,150,Yok
37219,C,358,Yok
37220,C,353,Yok
37221,C,155,Yok
37222,B,112,Yok
37223,C,401,Yok
37224,C,462,Yok
37225,A,185,Yok
37226,B,87,Yok
37227,A,12,Yok
37228,D,79,Yok
37229,B,118,Yok
37230,A,136,Yok
37231,A,282,Yok
37232,D,60,Yok
37233,D,66,Yok
37234,C,52,Yok
37235,C,51,Yok
37236,B,38,Yok
37237,B,95,Yok
37238,D,370,Yok
37239,B,235,Yok
37240,C,192,Yok
37241,D,207,Yok
37242,A,180,Yok
37243,D,325,Yok
37244,B,178,Yok
37245,C,228,Yok
37246,C,442,Yok
37247,A,343,Yok
37248,A,93,Yok
37249,D,164,Yok
37250,C,396,Yok
37251,A,90,Yok
37252,A,205,Yok
37253,D,307,Yok
37254,D,470,Yok
37255,C,191,Yok
37256,B,394,Yok
37257,B,137,Yok
37258,C,242,Yok
37259,B,414,Yok
37260,C,76,Yok
37261,C,312,Yok
37262,A,354,Yok
37263,B,371,Yok
37264,C,117,Yok
37265,B,68,Yok
37266,B,394,Yok
37267,D,279,Yok
37268,B,235,Yok
37269,C,391,Yok
37270,A,49,Yok
37271,B,460,Yok
37272,C,499,Yok
37273,D,274,Yok
37274,B,334,Yok
37275,A,418,Yok
37276,B,201,Yok
37277,C,325,Yok
37278,B,42,Yok
37279,B,270,Yok
37280,D,213,Yok
37281,B,317,Yok
37282,A,112,Yok
37283,B,340,Yok
37284,D,170,Yok
37285,C,281,Yok
37286,B,268,Yok
37287,B,270,Yok
37288,D,241,Yok
37289,D,455,Yok
37290,D,129,Yok
37291,B,28,Yok
37292,A,377,Yok
37293,D,404,Yok
37294,C,478,Yok
37295,B,389,Yok
37296,C,466,Yok
37297,C,116,Yok
37298,A,27,Yok
37299,C,149,Yok
37300,D,52,Yok
37301,D,240,Yok
37302,B,96,Yok
37303,A,315,Yok
37304,A,495,Yok
37305,C,177,Yok
37306,A,470,Yok
37307,C,428,Yok
37308,C,450,Yok
37309,A,193,Yok
37310,B,37,Yok
37311,C,455,Yok
37312,D,108,Yok
37313,D,96,Yok
37314,A,24,Yok
37315,A,145,Yok
37316,C,24,Yok
37317,C,202,Yok
37318,D,300,Yok
37319,C,67,Yok
37320,D,85,Yok
37321,C,402,Yok
37322,B,432,Yok
37323,B,362,Yok
37324,D,286,Yok
37325,B,360,Yok
37326,B,453,Yok
37327,A,487,Yok
37328,C,180,Yok
37329,A,72,Yok
37330,D,179,Yok
37331,A,220,Yok
37332,D,171,Yok
37333,B,391,Yok
37334,A,154,Yok
37335,B,491,Yok
37336,C,330,Yok
37337,B,383,Yok
37338,C,418,Yok
37339,B,364,Yok
37340,A,195,Yok
37341,A,403,Yok
37342,B,234,Yok
37343,D,471,Yok
37344,D,255,Yok
37345,C,15,Yok
37346,C,315,Yok
37347,B,285,Yok
37348,A,390,Yok
37349,C,439,Yok
37350,B,469,Yok
37351,C,356,Yok
37352,A,404,Yok
37353,C,344,Yok
37354,B,421,Yok
37355,C,126,Yok
37356,D,111,Yok
37357,C,255,Yok
37358,A,11,Yok
37359,A,457,Yok
37360,A,151,Yok
37361,A,78,Yok
37362,B,248,Yok
37363,C,366,Yok
37364,C,211,Yok
37365,C,87,Yok
37366,C,347,Yok
37367,B,256,Yok
37368,A,235,Yok
37369,C,218,Yok
37370,C,37,Yok
37371,A,47,Yok
37372,D,360,Yok
37373,D,170,Yok
37374,A,365,Yok
37375,C,63,Yok
37376,A,69,Yok
37377,C,248,Yok
37378,C,254,Yok
37379,D,397,Yok
37380,D,63,Yok
37381,C,238,Yok
37382,C,480,Yok
37383,C,158,Yok
37384,D,290,Yok
37385,C,316,Yok
37386,A,152,Yok
37387,B,343,Yok
37388,B,22,Yok
37389,C,251,Yok
37390,A,264,Yok
37391,C,454,Yok
37392,A,362,Yok
37393,D,30,Yok
37394,D,244,Yok
37395,C,392,Yok
37396,D,437,Yok
37397,C,70,Yok
37398,B,33,Yok
37399,A,226,Yok
37400,A,44,Yok
37401,B,288,Yok
37402,B,205,Yok
37403,B,64,Yok
37404,B,414,Yok
37405,D,111,Yok
37406,A,137,Yok
37407,A,161,Yok
37408,B,227,Yok
37409,C,326,Yok
37410,C,131,Yok
37411,C,226,Yok
37412,C,17,Yok
37413,D,79,Yok
37414,A,389,Yok
37415,A,254,Yok
37416,A,109,Yok
37417,C,199,Yok
37418,B,235,Yok
37419,C,369,Yok
37420,A,268,Yok
37421,C,25,Yok
37422,B,143,Yok
37423,B,158,Yok
37424,C,140,Yok
37425,A,119,Yok
37426,D,458,Yok
37427,A,336,Yok
37428,D,289,Yok
37429,A,499,Yok
37430,C,130,Yok
37431,D,413,Yok
37432,A,427,Yok
37433,C,183,Yok
37434,A,465,Yok
37435,B,226,Yok
37436,B,125,Yok
37437,A,431,Yok
37438,C,165,Yok
37439,A,302,Yok
37440,C,326,Yok
37441,D,162,Yok
37442,B,213,Yok
37443,D,436,Yok
37444,C,413,Yok
37445,A,219,Yok
37446,B,426,Yok
37447,C,170,Yok
37448,C,366,Yok
37449,B,304,Yok
37450,A,405,Yok
37451,B,494,Yok
37452,A,215,Yok
37453,A,413,Yok
37454,C,370,Yok
37455,A,251,Yok
37456,A,411,Yok
37457,B,211,Yok
37458,B,282,Yok
37459,A,398,Yok
37460,C,73,Yok
37461,B,421,Yok
37462,D,494,Yok
37463,C,298,Yok
37464,B,431,Yok
37465,B,222,Yok
37466,D,304,Yok
37467,A,116,Yok
37468,B,264,Yok
37469,D,357,Yok
37470,D,330,Yok
37471,B,12,Yok
37472,C,470,Yok
37473,B,249,Yok
37474,D,163,Yok
37475,B,118,Yok
37476,C,498,Yok
37477,A,463,Yok
37478,A,482,Yok
37479,B,300,Yok
37480,B,284,Yok
37481,D,187,Yok
37482,C,366,Yok
37483,D,172,Yok
37484,D,351,Yok
37485,A,494,Yok
37486,D,276,Yok
37487,D,482,Yok
37488,A,163,Yok
37489,A,275,Yok
37490,C,439,Yok
37491,C,165,Yok
37492,C,348,Yok
37493,B,156,Yok
37494,A,173,Yok
37495,B,254,Yok
37496,B,371,Yok
37497,C,129,Yok
37498,A,283,Yok
37499,B,419,Yok
37500,D,314,Yok
37501,D,192,Yok
37502,A,17,Yok
37503,B,270,Yok
37504,C,81,Yok
37505,B,295,Yok
37506,D,273,Yok
37507,D,173,Yok
37508,C,83,Yok
37509,A,164,Yok
37510,B,252,Yok
37511,D,134,Yok
37512,B,370,Yok
37513,C,280,Yok
37514,C,349,Yok
37515,A,47,Yok
37516,C,219,Yok
37517,A,373,Yok
37518,B,304,Yok
37519,D,383,Yok
37520,D,469,Yok
37521,A,308,Yok
37522,D,378,Yok
37523,A,91,Yok
37524,A,172,Yok
37525,B,60,Yok
37526,B,303,Yok
37527,C,100,Yok
37528,A,81,Yok
37529,B,428,Yok
37530,A,189,Yok
37531,A,105,Yok
37532,A,18,Yok
37533,B,181,Yok
37534,A,17,Yok
37535,A,81,Yok
37536,C,138,Yok
37537,A,34,Yok
37538,C,336,Yok
37539,A,425,Yok
37540,C,455,Yok
37541,B,19,Yok
37542,B,377,Yok
37543,D,237,Yok
37544,A,479,Yok
37545,D,410,Yok
37546,D,390,Yok
37547,C,404,Yok
37548,B,440,Yok
37549,A,193,Yok
37550,A,249,Yok
37551,C,306,Yok
37552,D,409,Yok
37553,C,162,Yok
37554,D,39,Yok
37555,A,469,Yok
37556,C,178,Yok
37557,D,248,Yok
37558,C,454,Yok
37559,B,58,Yok
37560,C,355,Yok
37561,A,483,Yok
37562,C,341,Yok
37563,A,307,Yok
37564,A,130,Yok
37565,C,72,Yok
37566,C,360,Yok
37567,C,35,Yok
37568,B,431,Yok
37569,B,132,Yok
37570,D,165,Yok
37571,C,463,Yok
37572,D,10,Yok
37573,D,75,Yok
37574,A,356,Yok
37575,D,179,Yok
37576,C,17,Yok
37577,B,443,Yok
37578,D,275,Yok
37579,D,466,Yok
37580,B,317,Yok
37581,D,20,Yok
37582,C,13,Yok
37583,D,167,Yok
37584,A,393,Yok
37585,D,46,Yok
37586,A,368,Yok
37587,B,356,Yok
37588,B,410,Yok
37589,D,274,Yok
37590,D,120,Yok
37591,B,15,Yok
37592,A,230,Yok
37593,B,462,Yok
37594,B,246,Yok
37595,A,58,Yok
37596,B,266,Yok
37597,D,256,Yok
37598,D,283,Yok
37599,B,23,Yok
37600,D,405,Yok
37601,C,205,Yok
37602,B,81,Yok
37603,C,335,Yok
37604,B,453,Yok
37605,B,477,Yok
37606,C,480,Yok
37607,B,392,Yok
37608,D,256,Yok
37609,C,346,Yok
37610,B,330,Yok
37611,D,62,Yok
37612,C,176,Yok
37613,C,111,Yok
37614,D,384,Yok
37615,B,58,Yok
37616,B,87,Yok
37617,C,395,Yok
37618,A,409,Yok
37619,B,132,Yok
37620,B,57,Yok
37621,D,438,Yok
37622,A,419,Yok
37623,A,20,Yok
37624,C,64,Yok
37625,D,106,Yok
37626,D,406,Yok
37627,B,164,Yok
37628,C,455,Yok
37629,B,21,Yok
37630,A,494,Yok
37631,D,200,Yok
37632,C,140,Yok
37633,B,269,Yok
37634,B,280,Yok
37635,A,229,Yok
37636,D,56,Yok
37637,A,343,Yok
37638,B,161,Yok
37639,D,50,Yok
37640,D,463,Yok
37641,A,212,Yok
37642,D,230,Yok
37643,A,409,Yok
37644,D,342,Yok
37645,D,468,Yok
37646,C,235,Yok
37647,D,91,Yok
37648,B,66,Yok
37649,C,50,Yok
37650,A,440,Yok
37651,B,439,Yok
37652,A,339,Yok
37653,A,240,Yok
37654,B,199,Yok
37655,A,429,Yok
37656,C,167,Yok
37657,B,24,Yok
37658,A,253,Yok
37659,A,27,Yok
37660,D,422,Yok
37661,D,323,Yok
37662,A,230,Yok
37663,B,287,Yok
37664,C,320,Yok
37665,A,32,Yok
37666,A,102,Yok
37667,A,437,Yok
37668,D,79,Yok
37669,B,197,Yok
37670,A,239,Yok
37671,D,117,Yok
37672,A,126,Yok
37673,A,137,Yok
37674,B,353,Yok
37675,D,14,Yok
37676,C,498,Yok
37677,B,352,Yok
37678,C,299,Yok
37679,D,149,Yok
37680,D,468,Yok
37681,C,76,Yok
37682,D,225,Yok
37683,B,486,Yok
37684,A,306,Yok
37685,C,232,Yok
37686,A,273,Yok
37687,C,139,Yok
37688,A,102,Yok
37689,A,451,Yok
37690,B,46,Yok
37691,A,217,Yok
37692,C,325,Yok
37693,A,50,Yok
37694,D,465,Yok
37695,A,45,Yok
37696,A,215,Yok
37697,D,85,Yok
37698,D,384,Yok
37699,C,100,Yok
37700,D,284,Yok
37701,D,60,Yok
37702,C,252,Yok
37703,C,319,Yok
37704,A,342,Yok
37705,B,422,Yok
37706,C,386,Yok
37707,D,332,Yok
37708,A,273,Yok
37709,D,198,Yok
37710,C,193,Yok
37711,B,131,Yok
37712,A,471,Yok
37713,C,144,Yok
37714,C,461,Yok
37715,D,122,Yok
37716,B,414,Yok
37717,C,54,Yok
37718,D,149,Yok
37719,A,232,Yok
37720,D,466,Yok
37721,A,400,Yok
37722,D,438,Yok
37723,B,428,Yok
37724,D,433,Yok
37725,B,404,Yok
37726,B,238,Yok
37727,A,51,Yok
37728,D,11,Yok
37729,D,299,Yok
37730,D,447,Yok
37731,B,364,Yok
37732,C,495,Yok
37733,D,89,Yok
37734,D,188,Yok
37735,C,297,Yok
37736,A,253,Yok
37737,D,472,Yok
37738,C,211,Yok
37739,D,21,Yok
37740,B,22,Yok
37741,C,39,Yok
37742,B,376,Yok
37743,C,223,Yok
37744,A,464,Yok
37745,B,473,Yok
37746,D,310,Yok
37747,C,490,Yok
37748,D,130,Yok
37749,A,480,Yok
37750,C,114,Yok
37751,A,490,Yok
37752,C,79,Yok
37753,B,183,Yok
37754,D,297,Yok
37755,B,348,Yok
37756,B,429,Yok
37757,B,39,Yok
37758,B,140,Yok
37759,C,46,Yok
37760,D,119,Yok
37761,C,91,Yok
37762,C,363,Yok
37763,C,256,Yok
37764,B,345,Yok
37765,A,269,Yok
37766,B,77,Yok
37767,C,257,Yok
37768,B,436,Yok
37769,D,272,Yok
37770,D,121,Yok
37771,B,91,Yok
37772,B,308,Yok
37773,A,174,Yok
37774,B,492,Yok
37775,B,331,Yok
37776,A,55,Yok
37777,B,78,Yok
37778,B,140,Yok
37779,B,428,Yok
37780,B,408,Yok
37781,B,380,Yok
37782,C,256,Yok
37783,B,257,Yok
37784,A,345,Yok
37785,B,164,Yok
37786,C,341,Yok
37787,A,462,Yok
37788,A,62,Yok
37789,B,204,Yok
37790,D,212,Yok
37791,C,304,Yok
37792,D,143,Yok
37793,B,261,Yok
37794,C,151,Yok
37795,D,480,Yok
37796,C,243,Yok
37797,B,269,Yok
37798,C,25,Yok
37799,B,380,Yok
37800,D,400,Yok
37801,C,36,Yok
37802,A,204,Yok
37803,B,140,Yok
37804,C,41,Yok
37805,A,441,Yok
37806,A,205,Yok
37807,A,403,Yok
37808,A,138,Yok
37809,B,264,Yok
37810,C,411,Yok
37811,A,487,Yok
37812,C,37,Yok
37813,C,391,Yok
37814,D,180,Yok
37815,C,473,Yok
37816,B,31,Yok
37817,B,381,Yok
37818,A,457,Yok
37819,C,423,Yok
37820,B,392,Yok
37821,B,434,Yok
37822,B,432,Yok
37823,A,494,Yok
37824,B,83,Yok
37825,C,162,Yok
37826,B,404,Yok
37827,B,389,Yok
37828,A,224,Yok
37829,C,415,Yok
37830,B,157,Yok
37831,C,14,Yok
37832,C,159,Yok
37833,B,474,Yok
37834,A,411,Yok
37835,C,344,Yok
37836,D,359,Yok
37837,B,213,Yok
37838,C,395,Yok
37839,C,240,Yok
37840,C,396,Yok
37841,B,309,Yok
37842,D,343,Yok
37843,C,45,Yok
37844,C,430,Yok
37845,A,87,Yok
37846,B,416,Yok
37847,B,446,Yok
37848,C,88,Yok
37849,A,455,Yok
37850,C,336,Yok
37851,C,258,Yok
37852,B,67,Yok
37853,A,42,Yok
37854,C,66,Yok
37855,B,186,Yok
37856,C,431,Yok
37857,C,341,Yok
37858,A,188,Yok
37859,A,67,Yok
37860,A,161,Yok
37861,C,390,Yok
37862,D,87,Yok
37863,A,307,Yok
37864,D,336,Yok
37865,D,253,Yok
37866,D,413,Yok
37867,B,230,Yok
37868,C,129,Yok
37869,A,181,Yok
37870,C,319,Yok
37871,C,440,Yok
37872,B,272,Yok
37873,B,270,Yok
37874,B,237,Yok
37875,C,490,Yok
37876,D,128,Yok
37877,C,189,Yok
37878,B,342,Yok
37879,C,169,Yok
37880,B,494,Yok
37881,B,110,Yok
37882,A,292,Yok
37883,D,187,Yok
37884,B,459,Yok
37885,A,386,Yok
37886,D,120,Yok
37887,B,214,Yok
37888,D,431,Yok
37889,D,193,Yok
37890,C,456,Yok
37891,A,167,Yok
37892,D,55,Yok
37893,C,463,Yok
37894,D,332,Yok
37895,C,60,Yok
37896,B,231,Yok
37897,B,324,Yok
37898,C,254,Yok
37899,B,476,Yok
37900,B,324,Yok
37901,B,59,Yok
37902,D,265,Yok
37903,C,345,Yok
37904,A,205,Yok
37905,A,261,Yok
37906,C,189,Yok
37907,D,438,Yok
37908,B,402,Yok
37909,B,329,Yok
37910,D,145,Yok
37911,A,442,Yok
37912,C,448,Yok
37913,C,355,Yok
37914,D,146,Yok
37915,B,258,Yok
37916,B,277,Yok
37917,B,101,Yok
37918,C,206,Yok
37919,A,378,Yok
37920,C,246,Yok
37921,D,473,Yok
37922,C,383,Yok
37923,D,284,Yok
37924,C,96,Yok
37925,A,17,Yok
37926,D,111,Yok
37927,B,27,Yok
37928,B,35,Yok
37929,C,52,Yok
37930,C,419,Yok
37931,A,498,Yok
37932,A,472,Yok
37933,B,23,Yok
37934,C,390,Yok
37935,D,144,Yok
37936,A,354,Yok
37937,D,267,Yok
37938,D,185,Yok
37939,A,207,Yok
37940,C,210,Yok
37941,D,193,Yok
37942,C,371,Yok
37943,D,286,Yok
37944,C,212,Yok
37945,C,379,Yok
37946,C,16,Yok
37947,C,233,Yok
37948,A,497,Yok
37949,D,433,Yok
37950,C,420,Yok
37951,B,470,Yok
37952,D,267,Yok
37953,D,150,Yok
37954,C,397,Yok
37955,D,385,Yok
37956,B,77,Yok
37957,B,291,Yok
37958,B,96,Yok
37959,D,285,Yok
37960,D,359,Yok
37961,C,482,Yok
37962,D,194,Yok
37963,D,420,Yok
37964,C,201,Yok
37965,B,285,Yok
37966,C,217,Yok
37967,A,380,Yok
37968,D,13,Yok
37969,D,210,Yok
37970,A,336,Yok
37971,A,184,Yok
37972,A,285,Yok
37973,C,50,Yok
37974,B,114,Yok
37975,C,454,Yok
37976,A,105,Yok
37977,C,74,Yok
37978,D,338,Yok
37979,C,305,Yok
37980,A,220,Yok
37981,D,177,Yok
37982,B,237,Yok
37983,C,107,Yok
37984,C,319,Yok
37985,A,491,Yok
37986,B,416,Yok
37987,D,458,Yok
37988,A,429,Yok
37989,A,65,Yok
37990,C,224,Yok
37991,B,329,Yok
37992,A,358,Yok
37993,C,224,Yok
37994,D,184,Yok
37995,A,352,Yok
37996,D,179,Yok
37997,D,420,Yok
37998,C,356,Yok
37999,B,112,Yok
38000,D,228,Yok
38001,A,160,Yok
38002,B,352,Yok
38003,B,94,Yok
38004,C,336,Yok
38005,A,350,Yok
38006,A,438,Yok
38007,C,384,Yok
38008,C,221,Yok
38009,B,385,Yok
38010,D,41,Yok
38011,D,176,Yok
38012,D,447,Yok
38013,D,53,Yok
38014,A,73,Yok
38015,A,207,Yok
38016,C,254,Yok
38017,C,91,Yok
38018,D,399,Yok
38019,C,273,Yok
38020,A,383,Yok
38021,D,75,Yok
38022,D,305,Yok
38023,A,375,Yok
38024,B,456,Yok
38025,D,477,Yok
38026,C,133,Yok
38027,B,179,Yok
38028,A,385,Yok
38029,B,214,Yok
38030,B,367,Yok
38031,D,465,Yok
38032,B,99,Yok
38033,C,199,Yok
38034,D,467,Yok
38035,A,466,Yok
38036,C,485,Yok
38037,D,144,Yok
38038,B,10,Yok
38039,C,106,Yok
38040,D,52,Yok
38041,D,378,Yok
38042,A,22,Yok
38043,D,491,Yok
38044,A,148,Yok
38045,B,249,Yok
38046,D,486,Yok
38047,D,260,Yok
38048,B,120,Yok
38049,D,484,Yok
38050,D,300,Yok
38051,C,47,Yok
38052,A,226,Yok
38053,D,120,Yok
38054,D,113,Yok
38055,A,182,Yok
38056,C,60,Yok
38057,A,24,Yok
38058,D,324,Yok
38059,B,75,Yok
38060,B,392,Yok
38061,C,407,Yok
38062,C,23,Yok
38063,D,247,Yok
38064,C,384,Yok
38065,D,434,Yok
38066,B,389,Yok
38067,C,161,Yok
38068,D,398,Yok
38069,A,299,Yok
38070,C,117,Yok
38071,D,169,Yok
38072,D,357,Yok
38073,A,55,Yok
38074,B,470,Yok
38075,A,25,Yok
38076,D,94,Yok
38077,A,31,Yok
38078,A,224,Yok
38079,D,297,Yok
38080,B,469,Yok
38081,A,178,Yok
38082,A,31,Yok
38083,C,318,Yok
38084,C,416,Yok
38085,D,428,Yok
38086,D,98,Yok
38087,D,254,Yok
38088,C,248,Yok
38089,D,436,Yok
38090,A,327,Yok
38091,A,54,Yok
38092,B,262,Yok
38093,D,103,Yok
38094,A,450,Yok
38095,A,231,Yok
38096,B,204,Yok
38097,A,257,Yok
38098,B,448,Yok
38099,B,168,Yok
38100,C,237,Yok
38101,A,447,Yok
38102,C,429,Yok
38103,A,172,Yok
38104,C,23,Yok
38105,B,159,Yok
38106,B,408,Yok
38107,B,224,Yok
38108,B,337,Yok
38109,A,187,Yok
38110,D,33,Yok
38111,A,250,Yok
38112,C,435,Yok
38113,A,49,Yok
38114,A,385,Yok
38115,C,442,Yok
38116,B,234,Yok
38117,C,336,Yok
38118,C,495,Yok
38119,D,237,Yok
38120,D,379,Yok
38121,B,402,Yok
38122,C,491,Yok
38123,C,137,Yok
38124,C,436,Yok
38125,A,71,Yok
38126,D,285,Yok
38127,D,156,Yok
38128,B,233,Yok
38129,D,379,Yok
38130,D,256,Yok
38131,B,30,Yok
38132,C,483,Yok
38133,A,274,Yok
38134,B,365,Yok
38135,D,70,Yok
38136,B,299,Yok
38137,D,117,Yok
38138,C,207,Yok
38139,C,426,Yok
38140,C,472,Yok
38141,D,347,Yok
38142,B,96,Yok
38143,D,68,Yok
38144,C,336,Yok
38145,C,151,Yok
38146,C,471,Yok
38147,D,62,Yok
38148,A,447,Yok
38149,C,265,Yok
38150,B,93,Yok
38151,C,363,Yok
38152,D,359,Yok
38153,B,309,Yok
38154,D,422,Yok
38155,A,144,Yok
38156,A,359,Yok
38157,D,244,Yok
38158,C,359,Yok
38159,B,55,Yok
38160,C,99,Yok
38161,D,206,Yok
38162,D,354,Yok
38163,C,128,Yok
38164,B,103,Yok
38165,B,171,Yok
38166,B,311,Yok
38167,B,28,Yok
38168,B,39,Yok
38169,A,273,Yok
38170,A,95,Yok
38171,D,487,Yok
38172,A,283,Yok
38173,B,480,Yok
38174,B,325,Yok
38175,B,97,Yok
38176,D,309,Yok
38177,D,117,Yok
38178,C,61,Yok
38179,A,375,Yok
38180,A,473,Yok
38181,C,17,Yok
38182,C,406,Yok
38183,A,435,Yok
38184,B,343,Yok
38185,A,285,Yok
38186,B,233,Yok
38187,D,172,Yok
38188,A,337,Yok
38189,A,331,Yok
38190,D,493,Yok
38191,D,96,Yok
38192,D,314,Yok
38193,D,203,Yok
38194,D,357,Yok
38195,C,206,Yok
38196,C,482,Yok
38197,D,394,Yok
38198,D,188,Yok
38199,D,351,Yok
38200,D,208,Yok
38201,B,63,Yok
38202,B,480,Yok
38203,D,225,Yok
38204,D,35,Yok
38205,A,343,Yok
38206,D,360,Yok
38207,D,484,Yok
38208,C,287,Yok
38209,B,186,Yok
38210,D,118,Yok
38211,B,439,Yok
38212,B,493,Yok
38213,A,154,Yok
38214,B,373,Yok
38215,B,103,Yok
38216,D,453,Yok
38217,C,478,Yok
38218,D,145,Yok
38219,D,198,Yok
38220,C,70,Yok
38221,C,267,Yok
38222,A,57,Yok
38223,C,254,Yok
38224,D,311,Yok
38225,C,326,Yok
38226,C,399,Yok
38227,C,22,Yok
38228,B,422,Yok
38229,A,72,Yok
38230,B,364,Yok
38231,B,231,Yok
38232,A,55,Yok
38233,B,427,Yok
38234,C,349,Yok
38235,A,115,Yok
38236,B,408,Yok
38237,D,387,Yok
38238,B,339,Yok
38239,D,246,Yok
38240,C,289,Yok
38241,D,347,Yok
38242,B,396,Yok
38243,B,37,Yok
38244,B,443,Yok
38245,A,85,Yok
38246,A,234,Yok
38247,B,409,Yok
38248,B,442,Yok
38249,C,179,Yok
38250,A,268,Yok
38251,A,170,Yok
38252,A,225,Yok
38253,D,266,Yok
38254,B,316,Yok
38255,C,390,Yok
38256,C,499,Yok
38257,B,471,Yok
38258,B,146,Yok
38259,C,236,Yok
38260,D,25,Yok
38261,C,210,Yok
38262,D,213,Yok
38263,D,424,Yok
38264,A,314,Yok
38265,B,271,Yok
38266,A,368,Yok
38267,D,125,Yok
38268,C,295,Yok
38269,A,372,Yok
38270,C,182,Yok
38271,D,109,Yok
38272,C,354,Yok
38273,A,294,Yok
38274,D,189,Yok
38275,B,294,Yok
38276,A,128,Yok
38277,A,479,Yok
38278,B,77,Yok
38279,D,113,Yok
38280,B,210,Yok
38281,A,94,Yok
38282,D,248,Yok
38283,C,497,Yok
38284,A,276,Yok
38285,C,86,Yok
38286,B,157,Yok
38287,D,83,Yok
38288,B,194,Yok
38289,C,224,Yok
38290,A,262,Yok
38291,D,105,Yok
38292,B,225,Yok
38293,C,437,Yok
38294,C,148,Yok
38295,A,495,Yok
38296,C,393,Yok
38297,D,426,Yok
38298,C,228,Yok
38299,A,324,Yok
38300,B,224,Yok
38301,D,333,Yok
38302,B,246,Yok
38303,B,256,Yok
38304,C,58,Yok
38305,C,24,Yok
38306,A,499,Yok
38307,C,396,Yok
38308,C,460,Yok
38309,B,482,Yok
38310,D,351,Yok
38311,C,148,Yok
38312,D,84,Yok
38313,C,448,Yok
38314,C,17,Yok
38315,A,46,Yok
38316,C,165,Yok
38317,A,29,Yok
38318,B,265,Yok
38319,D,124,Yok
38320,C,31,Yok
38321,A,67,Yok
38322,B,439,Yok
38323,C,121,Yok
38324,A,212,Yok
38325,A,32,Yok
38326,B,107,Yok
38327,C,43,Yok
38328,C,243,Yok
38329,D,187,Yok
38330,C,56,Yok
38331,A,481,Yok
38332,D,186,Yok
38333,D,396,Yok
38334,C,423,Yok
38335,D,288,Yok
38336,A,74,Yok
38337,A,283,Yok
38338,B,238,Yok
38339,A,445,Yok
38340,B,460,Yok
38341,D,481,Yok
38342,B,34,Yok
38343,C,267,Yok
38344,B,195,Yok
38345,C,223,Yok
38346,D,82,Yok
38347,B,384,Yok
38348,A,63,Yok
38349,C,153,Yok
38350,D,200,Yok
38351,A,52,Yok
38352,C,114,Yok
38353,D,181,Yok
38354,D,25,Yok
38355,A,216,Yok
38356,D,16,Yok
38357,B,164,Yok
38358,D,283,Yok
38359,C,144,Yok
